,id,race,sex,LSAT,UGPA,region_first,ZFYA,sander_index,first_pf
0,172487,White,1,32.0,3.0,GL,-0.64,0.681593429,1
1,172488,Asian,2,32.5,3.0,MS,-0.91,0.690060848,1
2,172489,White,1,37.0,3.2,SE,1.33,0.77471884,1
3,172490,White,2,35.2,3.1,NE,1.14,0.730558814,1
4,172491,White,2,37.0,3.3,GL,-1.18,0.76779349,1
5,172492,White,1,36.3,3.1,NG,-1.35,0.747892684,1
6,172493,White,2,42.8,3.2,GL,-0.45,0.832586516,1
7,172494,Black,1,37.3,3.0,MS,0.56,0.755601927,1
8,172495,White,2,32.4,3.3,FW,0.4,0.708586158,0
9,172496,Hispanic,1,41.1,3.1,FW,-1.02,0.805244363,1
10,172497,White,1,40.8,3.9,NE,1.47,0.879423305,1
11,172498,Other,2,27.3,3.7,MS,-2.19,0.705709825,1
12,172499,White,2,39.9,3.4,FW,0.12,0.810654728,1
13,172500,White,2,39.1,3.6,FW,0.02,0.823244349,1
14,172501,White,2,38.1,2.9,MS,-1.13,0.746573372,1
15,172502,White,1,25.9,3.7,SE,-2.86,0.689087961,1
16,172503,White,1,37.6,3.7,GL,2.16,0.827165575,1
17,172504,White,1,44.0,3.7,MS,0.15,0.895777556,1
18,172505,White,1,46.9,3.1,SC,2.1,0.885970978,1
19,172506,White,2,39.8,3.4,GL,-0.04,0.820226198,1
20,172507,White,1,40.8,3.4,NE,0.02,0.828904228,1
21,172508,White,2,43.2,3.1,GL,-0.08,0.824969105,1
22,172509,White,2,32.1,2.5,NE,0.31,0.643994824,1
23,172510,White,1,30.5,3.6,NE,-0.52,0.7303988,1
24,172511,White,2,37.6,2.5,FW,0.08,0.707443907,1
25,172512,White,1,43.6,3.7,GL,1.32,0.890568793,1
26,172513,White,2,43.9,3.3,SE,0.12,0.861714356,1
27,172514,Black,1,39.3,3.2,SC,-1.02,0.797256481,1
28,172515,Mexican,1,42.4,3.6,NE,1.62,0.869787472,1
29,172516,White,2,43.9,3.6,NE,1.2,0.884289515,1
30,172517,White,2,43.9,3.7,MS,-0.2,0.896607882,1
31,172518,White,1,24.0,2.5,FW,0.29,0.547826896,1
32,172519,White,2,27.1,2.9,NE,0.14,0.624779646,1
33,172520,White,2,33.6,3.0,MS,-0.28,0.711262978,1
34,172521,White,1,47.9,3.6,Mt,0.95,0.950680482,1
35,172522,Puertorican,2,25.1,2.8,NG,-0.37,0.587413543,1
36,172523,White,2,36.6,2.9,MS,0.3,0.715635169,1
37,172524,Hispanic,1,36.7,3.6,GL,-0.7,0.78998099,0
38,172525,White,2,40.7,3.5,NW,0.02,0.837901002,1
39,172526,White,2,40.2,3.5,GL,-0.25,0.826539551,1
40,172527,Puertorican,1,31.6,2.7,NE,0.56,0.647993982,1
41,172528,White,2,43.6,3.9,MS,1.92,0.920927353,1
42,172529,White,2,40.2,2.9,SE,-1.76,0.776561582,1
43,172530,White,1,39.4,2.9,GL,-0.2,0.769492056,1
44,172531,White,2,40.5,2.8,MW,0.3,0.771971079,1
45,172532,White,1,39.6,3.4,MS,0.37,0.809064449,1
46,172533,White,2,35.0,3.9,MW,0.82,0.814838413,1
47,172534,White,2,23.9,3.1,SE,-0.9,0.594893291,1
48,172535,White,2,39.8,2.9,GL,-0.92,0.769197823,1
49,172536,White,1,37.6,3.6,NE,0.96,0.80476078,1
50,172537,White,2,41.8,3.7,NE,-1.27,0.867065153,0
51,172538,Black,1,32.2,2.8,NE,0.87,0.666361976,1
52,172539,White,1,48.0,3.5,FW,0.08,0.958535756,1
53,172540,White,1,38.2,3.6,NG,-0.16,0.805316965,1
54,172541,Hispanic,2,36.6,3.7,NE,-1.52,0.803237316,0
55,172542,White,2,38.6,3.4,SE,0.28,0.804104688,1
56,172543,White,1,34.9,3.1,NG,0.23,0.726198586,1
57,172544,White,1,39.4,3.5,MW,-1.38,0.820402522,1
58,172545,Mexican,2,16.9,2.7,SE,-0.35,0.495979599,1
59,172546,White,1,40.0,3.4,FW,1.08,0.813881728,1
60,172547,Amerindian,1,34.8,3.4,NE,0.47,0.748438133,1
61,172548,White,1,38.6,2.3,Mt,-0.67,0.696847519,1
62,172549,White,1,37.0,3.9,SC,-1.77,0.84347753,1
63,172550,White,2,48.0,3.9,NE,1.46,0.994346573,1
64,172551,White,1,30.2,3.5,FW,-1.08,0.71500642,1
65,172552,Black,1,35.2,2.9,GL,0.72,0.711964282,1
66,172553,White,2,37.0,2.7,SC,-0.17,0.714279468,1
67,172554,White,2,38.4,3.4,NE,0.94,0.79722192,1
68,172555,White,1,30.9,3.5,SE,-0.89,0.714170681,1
69,172556,White,2,31.7,2.5,NE,0.02,0.646899102,1
70,172557,White,2,42.6,3.3,GL,1.08,0.848785422,1
71,172558,White,1,38.8,3.8,MW,-0.41,0.853560515,1
72,172559,White,2,33.9,3.5,GL,-0.94,0.757515494,1
73,172560,White,2,34.5,3.7,GL,-0.04,0.774819051,1
74,172561,Mexican,1,32.2,3.1,NE,0.31,0.680968926,1
75,172562,White,2,36.2,3.5,GL,-1.21,0.777389985,1
76,172563,White,2,40.2,3.4,NE,0.57,0.825601748,1
77,172564,White,2,32.1,2.7,NE,-0.71,0.668295409,1
78,172565,White,1,46.1,3.6,SC,-0.62,0.921629497,1
79,172566,White,1,44.6,3.1,GL,-0.27,0.858208339,1
80,172567,White,2,41.6,3.1,SC,-0.22,0.803077067,1
81,172568,White,1,40.7,3.9,NE,1.8,0.880548567,1
82,172569,White,2,37.9,3.8,Mt,0.17,0.835137995,1
83,172570,White,2,43.8,2.9,Mt,0.89,0.826489528,1
84,172571,Hispanic,1,24.9,3.2,FW,-0.68,0.62598838,1
85,172572,White,1,39.3,3.3,FW,-0.27,0.796135613,1
86,172573,White,2,45.7,3.7,GL,1.38,0.911979238,1
87,172574,White,2,40.6,3.6,FW,0.21,0.841955562,1
88,172575,White,1,44.5,3.0,GL,-0.06,0.852414914,1
89,172576,Asian,2,38.8,3.4,GL,-0.45,0.801036321,1
90,172577,White,2,44.5,3.2,MS,-0.09,0.860453073,1
91,172578,White,1,42.5,3.9,Mt,-0.05,0.892911893,1
92,172579,Asian,2,44.4,2.6,Mt,-1.54,0.820031444,1
93,172580,White,2,40.4,3.5,NE,0.72,0.829651148,1
94,172581,White,2,30.8,3.8,NE,-1.25,0.750934891,1
95,172582,White,2,36.2,3.6,SC,1.02,0.800706601,1
96,172583,White,1,37.1,3.3,MS,-0.56,0.77589697,1
97,172584,White,1,42.6,3.5,MS,1.07,0.863065749,1
98,172585,White,1,36.8,3.8,NE,2.02,0.823835669,1
99,172586,White,2,33.7,3.4,SC,-0.35,0.746018888,1
100,172587,White,2,32.9,2.9,MS,-0.79,0.676769794,1
101,172588,White,2,44.1,3.0,NE,0.18,0.837780271,1
102,172589,White,2,34.8,3.4,MS,0.26,0.751206597,1
103,172590,White,2,43.1,2.4,NE,0.42,0.778937993,1
104,172591,White,1,40.8,3.3,NE,1.33,0.823551758,1
105,172592,White,2,33.8,3.4,FW,-0.69,0.74026607,1
106,172593,White,2,28.0,3.4,SE,-0.15,0.681003767,0
107,172594,White,2,34.7,3.5,MW,0.85,0.768852275,1
108,172595,White,2,37.5,3.5,SC,-0.17,0.79132309,1
109,172596,White,1,38.9,2.6,GL,-0.66,0.73565682,1
110,172597,White,1,38.3,2.9,SC,0.1,0.758881991,1
111,172598,White,2,38.7,3.3,MS,1.21,0.784809799,1
112,172599,White,1,27.6,3.5,FW,-0.96,0.677575307,1
113,172600,White,2,43.2,3.3,MS,-2.21,0.858165515,0
114,172601,White,2,33.1,2.9,NE,-0.27,0.693696983,1
115,172602,White,2,46.9,2.8,FW,0.42,0.862914763,1
116,172603,White,2,44.1,3.3,Mt,0.61,0.854696125,1
117,172604,White,1,40.7,3.9,NE,1.46,0.889392808,1
118,172605,White,2,40.3,3.2,NE,-0.57,0.797040784,1
119,172606,White,1,29.5,2.7,NE,-0.61,0.639631656,1
120,172607,White,2,34.9,3.2,FW,0.19,0.738205774,1
121,172608,Black,2,35.8,3.5,FW,-0.02,0.773981497,1
122,172609,White,1,27.6,3.9,NE,-1.15,0.730548309,1
123,172610,White,2,35.2,2.8,SE,-1.18,0.705463164,1
124,172611,Other,2,25.5,3.1,GL,-0.9,0.628645901,1
125,172612,White,1,42.0,2.8,NE,1.4,0.785854652,1
126,172613,White,2,28.3,3.6,NW,1.43,0.690303255,0
127,172614,White,2,34.0,2.5,MS,0.8,0.674524841,1
128,172615,White,1,44.5,3.1,SC,-0.77,0.851167198,1
129,172616,White,2,36.0,2.9,GL,-0.89,0.717759233,1
130,172617,White,2,38.5,3.6,MS,-0.19,0.826914883,1
131,172618,Puertorican,1,41.4,3.6,MW,-0.24,0.859322455,1
132,172619,White,1,29.5,3.8,NE,-1.01,0.728638638,1
133,172620,White,1,32.5,3.7,MS,0.95,0.766897015,1
134,172621,Hispanic,1,44.0,3.8,SE,0.6,0.920384963,1
135,172622,White,2,28.6,3.0,FW,-0.03,0.64894789,1
136,172623,White,2,33.0,3.1,NE,0.65,0.694775067,1
137,172624,White,1,38.8,2.5,FW,-0.88,0.726813307,0
138,172625,White,2,29.6,2.8,GL,0.8,0.64663177,1
139,172626,White,2,36.4,3.3,GL,-0.01,0.762037886,1
140,172627,White,2,35.4,3.7,NE,-0.64,0.797343257,1
141,172628,White,1,38.7,3.4,FW,-0.04,0.809131887,1
142,172629,White,1,39.8,3.5,SE,-0.58,0.829296128,1
143,172630,White,2,40.2,2.4,GL,-0.26,0.724639449,1
144,172631,White,1,33.7,2.8,SE,-0.36,0.694467363,1
145,172632,White,2,29.9,3.6,NE,-0.13,0.70852973,1
146,172633,White,2,42.4,3.3,FW,2.12,0.845191914,1
147,172634,Asian,2,34.9,3.1,NG,-1.56,0.716322627,1
148,172635,White,1,36.3,3.5,NE,0.23,0.784883168,1
149,172636,White,2,37.3,3.7,FW,0.25,0.827648033,1
150,172637,White,2,35.5,3.0,NW,-0.16,0.725164064,1
151,172638,White,2,37.4,3.9,NE,0.84,0.838433983,1
152,172639,Black,1,43.7,3.0,MS,1.56,0.832090781,1
153,172640,White,1,31.8,3.2,GL,1.49,0.69696194,1
154,172641,Asian,2,35.7,3.4,FW,0.51,0.759663391,1
155,172642,White,1,40.8,3.0,NE,1.17,0.801949441,1
156,172643,White,2,36.1,3.9,FW,0.23,0.818719973,1
157,172644,White,2,40.7,3.3,SE,-0.42,0.808666926,1
158,172645,White,2,21.1,3.1,NE,0.92,0.581025423,1
159,172646,White,1,33.0,2.2,SC,-0.79,0.633545627,0
160,172647,White,2,33.0,3.3,GL,0.89,0.716299587,1
161,172648,White,1,39.9,3.0,FW,-0.01,0.781277625,1
162,172649,White,2,35.5,3.5,FW,0.04,0.763956293,1
163,172650,White,1,26.1,3.5,MW,1.3,0.669347587,0
164,172651,White,1,47.0,3.7,NE,1.24,0.938895413,1
165,172652,White,2,40.3,3.1,NE,1.11,0.787754649,1
166,172653,White,2,32.5,3.2,SE,-0.22,0.716231069,1
167,172654,Black,1,33.9,2.9,GL,-2.34,0.705674262,1
168,172655,White,1,29.7,3.4,MS,-0.11,0.684913918,1
169,172656,White,2,40.3,3.7,Mt,0.8,0.856957438,1
170,172657,White,1,35.3,2.6,GL,-0.14,0.699443853,1
171,172658,White,2,42.2,3.1,FW,0.16,0.821304753,1
172,172659,White,2,46.5,3.7,MS,0.3,0.938405838,1
173,172660,White,1,44.0,2.4,SC,-1.59,0.788864558,1
174,172661,White,2,42.2,3.3,GL,0.64,0.832855896,1
