,id,race,sex,LSAT,UGPA,region_first,ZFYA,sander_index,first_pf
0,210487,White,1,43.8,2.6,SC,0.09,0.803102691,1
1,210488,White,1,43.3,3.8,GL,-0.38,0.90398557,1
2,210489,White,2,41.9,3.8,NE,1.56,0.88150755,1
3,210490,White,2,32.6,3.5,Mt,-0.03,0.744622089,1
4,210491,White,1,36.1,3.1,GL,2.16,0.739591158,1
5,210492,White,1,39.6,3.1,NE,0.18,0.776936716,1
6,210493,Black,1,42.7,3.7,SC,0.17,0.884075615,1
7,210494,Black,1,31.3,3.6,SC,-0.37,0.738897793,1
8,210495,White,1,38.5,3.0,MS,1.41,0.751803483,1
9,210496,White,1,37.9,3.7,Mt,-0.95,0.832501046,1
10,210497,White,2,35.1,2.7,NE,-0.85,0.698899536,1
11,210498,White,1,39.2,2.6,GL,-0.5,0.748890392,1
12,210499,White,2,31.3,3.6,Mt,1.46,0.73955768,1
13,210500,Hispanic,2,40.3,3.3,GL,-0.8,0.806171393,0
14,210501,White,2,39.4,3.0,SE,0.13,0.778644628,0
15,210502,White,1,27.4,3.3,SE,0.13,0.661473578,1
16,210503,White,2,44.8,3.7,GL,2.39,0.899616546,1
17,210504,White,1,35.6,3.6,GL,0.48,0.784471309,1
18,210505,White,2,35.4,3.4,NE,-0.9,0.769532845,1
19,210506,Mexican,1,39.7,2.8,FW,-1.2,0.758784019,0
20,210507,White,2,39.6,3.2,MS,0.13,0.791835115,1
21,210508,White,1,38.1,3.1,NE,0.33,0.7590176,1
22,210509,Black,2,32.6,2.9,FW,0.51,0.683488404,1
23,210510,White,1,30.9,3.1,MS,1.03,0.682373991,1
24,210511,White,1,43.1,3.2,NG,0.57,0.852729956,1
25,210512,White,1,40.2,3.5,FW,-0.42,0.823098277,1
26,210513,White,2,34.0,2.8,FW,0.25,0.686744352,1
27,210514,White,1,39.0,4.0,SC,0.26,0.873862877,1
28,210515,White,1,43.4,2.8,MS,0.35,0.806573957,1
29,210516,White,2,46.4,3.4,SE,0.3,0.899592464,1
30,210517,White,2,28.9,3.0,Mt,-0.48,0.64870794,1
